text,label
hello? i am calling from seller verification. a payout account was changed on a store profile linked to your number. i do not run a store. then i can close the profile if you confirm your email and read the security code. that code resets my password. the reset is needed to remove the payout account.,1
"this is raj. hi raj, it's priya from it support, calling about the ticket you opened, your email keeps asking you to sign in again. yeah, it's driving me crazy. that's from the certificate update we pushed. can you fully close the mail app and reopen it once? okay, done. it's asking me to sign in with the company page. that's the correct page, the one with our logo and the single sign-on. go ahead and sign in there, and i won't ever need your password, the company system handles that. alright, i'm back in. perfect, that clears the loop. ping me on the ticket if it comes back.",0
"hi. your name was selected for a civic obligation, but the attendance record shows no response. i never received anything. i can prevent an escalation if you verify your address and pay the administrative bond. i will call the courthouse. the escalation is scheduled before the public line reopens.",1
"hi. i am calling on behalf of the scheduling office. your manager submitted an urgent access request, but your login record is missing a mobile confirmation. which manager? i only see the department code, not the name. please read the sign-in code that just appeared. i am not signing in anywhere. the code is required to keep your account from being locked before your next shift.",1
"hi, i'm calling about the golden retriever puppies in the listing. yes! we have two males left. they come vaccinated, papers included, eight hundred dollars. could i come see them this weekend? we're about two hours from you, and honestly, both boys will be gone by saturday, we have a waitlist. what everyone does is place the three hundred dollar deposit through a payment app, which takes you off the market, and then visit or we deliver. i'd really rather see the puppy before paying anything. i understand, but i have a woman coming at four today with cash for both. the deposit is fully refundable if you visit and change your mind. i can send you twenty more photos and a video right now while you send the deposit. deal?",1
"hello? good morning, this is the billing office at cedar valley medical. i'm calling about the balance from your visit in april, and honestly, mostly to offer you options. money's been tight, so i appreciate that. you may qualify for financial assistance, or we can set up an interest-free plan as low as twenty dollars a month. no fee to apply, and nothing goes to collections while your application is reviewed. that would really help. i'll mail the application today. you can also see the itemized bill anytime through the patient portal. take your time reviewing it. thank you, that's a relief.",0
", this is . just got the photos from our last outing—want me to send them over? also, are we still on for brunch this weekend?",0
", this is . i am hosting a small board game night this at . it will be a relaxed evening with snacks and laughs. would you like to join us?",0
"hello? good afternoon, this is dana from cascade wireless. your two-year promotional rate ended and your bill went up by twenty-five dollars, so i'm calling to offer you a current plan that's actually cheaper than your old rate. what's the catch? a twelve-month term, same data and lines. that's the only condition. can i think it over? of course, the offer is tied to your account, not this call. it's available for the next sixty days in the app, online, or by phone. i'll check the app later. it's under offers and promotions. have a great day.",0
", this is from relief program. emergency support funds for affected households are now available. to begin the process, please visit your nearest community assistance outlet. make sure to bring your identification documents and any supporting proof of eligibility.",0
", this is . i noticed confusion online about a recent message from bank regarding new login procedures. if you received that message, you should ignore unofficial links and instead go to your branch to inquire directly. bring your bank card and identification for confirmation.",0
"hello? this is the compensation desk. we found a mismatch between your tax form and the payment profile on file. my employer would email me. an email was sent, but the deadline is today. confirm the bank name and the final four digits of the account where you receive pay. i am not giving that over the phone. then the correction cannot be applied before the payroll batch is transmitted.",1
hello? i am calling about a mismatch between the name on your return and the account selected for payment. i already received confirmation from my accountant. that confirmation was issued before the mismatch appeared. please confirm the account number so i can correct it. send the request through my accountant. their portal will not update until the correction deadline has passed.,1
", this is from housing division. to avoid falling for fraudulent rental agents, please use only listings verified at your local housing office. you can walk in and ask staff to check a listing for you.",0
"hello. good morning, i'm calling from the tax preparation partner about your return from this year. there's an issue that could trigger an audit if not corrected. what kind of issue? a mismatch between reported figures and third-party records, which the system will escalate automatically. i can file a correction that stops the escalation, but i need to confirm your identifying details and a processing payment of one hundred and ten dollars. wouldn't my tax preparer contact me about this? we are the partner that flags these before they reach the authorities, sir. once it escalates, you're dealing with a formal audit, penalties, and interest. a correction today is far cheaper. let's confirm your details and file it.",1
"hello, this is luis. luis, i am calling about unusual activity on a device registered to you. what device? i can show you the activity log if you open the screen-sharing link i just sent. why not send a report? the log contains private information and can only be viewed during a live verification session.",1
", this is from fitness center. this is a reminder about your gym membership renewal. we have added new classes and amenities—would you like to continue your membership?",0
", this is foundation. we are organizing a charity run on to raise funds for children's education. would you like to run, volunteer, or help us spread the word?",0
", this is from home decor. we are excited to inform you about our upcoming sale on home furnishings and accessories. would you be interested in browsing the latest deals?",0
", this is insurance. your policy renewal is approaching. do you need assistance reviewing the terms or adding dependents before ?",0
"hello? your contact number was used to complete an identity check for another person. i did not authorize that. i can invalidate the check if you state your full name, date of birth, and identification number. you are asking for everything someone would need. those fields are required to prove the check was not yours.",1
"hello? yes, this is dispatch. a crew is in your area and your address is on today's interruption list for a returned payment. i pay automatically every month. the system shows a reversal, sir. the crew reaches you within the hour. i can pull your address off the list if you settle now, but it has to go through our rapid line, not a normal card. have you used the payment machines at the pharmacy before? you want me to pay at a machine? it's the only method that posts instantly. stay on with me while you head over.",1
", this is . i finally tried that recipe you shared last month. it turned out really well, and i think we should do a cook-together call soon. let me know when you are free.",0
"hello. hi, this is steven with the claims processing group. we show you were involved in a vehicle incident within the last three years, is that right? i had a fender bender a while back, yes. perfect, that matches our file. you've been approved for a compensation disbursement of two thousand three hundred dollars that was never claimed. really? nobody told me about that. that's why we call. now the disbursement has to be released to a verified bank account today, or it rolls back into the pool. grab a check or your banking login and i'll verify the account so we can push the payment out. maybe i should check with my insurance company first. they're not involved in this fund, sir, and the release window closes at four.",1
", this is vacation rentals. we have a cozy cottage available for the weekend of –. would you like to book it for a relaxing getaway?",0
", this is . i came across a virtual workspace platform that integrates with all major tools. it seems perfect for remote teams like ours. shall we schedule a test run and explore it?",0
"who is this? i am with compliance scheduling. a missed appearance entry was placed under your name. i did not have an appearance scheduled. then the record may be mistaken. i can remove it after collecting the verification fee. i will not pay. without correction, the next notice may be delivered in person.",1
", this is from it department. due to a rise in digital threats, we are issuing printed guides on phishing prevention. if you would like a copy, please visit our technical support desk at the branch near you.",0
"hello? a user is attempting to verify an account with your number. i did not request verification. i can reject it if you tell me the six-digit code that arrives. the code would verify the account. i need to enter it first, then select rejection from the internal screen.",1
", this is restaurant. we are introducing a new seasonal menu and would love you to be among the first to try it. can we reserve a table for you on ?",0
"hello. good morning, this is the compliance office for online sellers. your selling account was reported for a policy violation and funds are being held pending review. what violation? a buyer complaint triggered an automatic hold on your balance. to release it and clear your account, i verify your identity and the bank account linked, and there's a compliance reinstatement fee of sixty dollars. a fee to get my own money released? the reinstatement fee restores your account to good standing, ma'am, and your held balance is far larger than that. if the review completes without your cooperation, the funds can be forfeited. let's verify you and release your money.",1
